stop_lat,stop_lon,station
43.666061,-79.411065,BATHURST STATION
43.670149,-79.390089,BAY STATION
43.766872,-79.386703,BAYVIEW STATION
43.769202,-79.376312,BESSARION STATION
43.670049,-79.385389,BLOOR STATION
43.67715,-79.357849,BROADVIEW STATION
43.673452,-79.369136,CASTLE FRANK STATION
43.678241,-79.352502,CHESTER STATION
43.664124,-79.418567,CHRISTIE STATION
43.660149,-79.382688,COLLEGE STATION
43.684079,-79.322919,COXWELL STATION
43.697614,-79.396911,DAVISVILLE STATION
43.776123,-79.346242,DON MILLS STATION
43.681149,-79.337487,DONLANDS STATION
43.753311,-79.478693,DOWNSVIEW PARK STATION
43.660849,-79.43389,DUFFERIN STATION
43.655949,-79.380788,DUNDAS STATION
43.656975,-79.453099,DUNDAS WEST STATION
43.674949,-79.40709,DUPONT STATION
43.70565,-79.399863,EGLINTON STATION
43.699447,-79.436493,EGLINTON WEST STATION
43.766548,-79.276186,ELLESMERE STATION
43.780942,-79.414829,FINCH STATION
43.764855,-79.491118,FINCH WEST STATION
43.709467,-79.441148,GLENCAIRN STATION
43.682549,-79.331687,GREENWOOD STATION
43.65397,-79.466354,HIGH PARK STATION
43.783359,-79.523454,HIGHWAY 407 STATION
43.645159,-79.524843,ISLINGTON STATION
43.649911,-79.484072,JANE STATION
43.65565,-79.459571,KEELE STATION
43.732739,-79.263253,KENNEDY STATION
43.648449,-79.377688,KING STATION
43.637209,-79.536117,KIPLING STATION
43.659246,-79.442463,LANSDOWNE STATION
43.750347,-79.270358,LAWRENCE EAST STATION
43.725556,-79.402351,LAWRENCE STATION
43.716218,-79.444374,LAWRENCE WEST STATION
43.77041,-79.367644,LESLIE STATION
43.689037,-79.301926,MAIN STREET STATION
43.774882,-79.251654,MCCOWAN STATION
43.770448,-79.272286,MIDLAND STATION
43.667249,-79.393389,MUSEUM STATION
43.767347,-79.412492,NORTH YORK CENTRE STATION
43.650156,-79.495072,OLD MILL STATION
43.651749,-79.386888,OSGOODE STATION
43.662271,-79.426546,OSSINGTON STATION
43.680042,-79.344585,PAPE STATION
43.77675,-79.509372,PIONEER VILLAGE STATION
43.652149,-79.379188,QUEEN STATION
43.660549,-79.390689,QUEEN'S PARK STATION
43.66359,-79.590572,RENFORTH STATION
43.676049,-79.388089,ROSEDALE STATION
43.780709,-79.130359,ROUGE HILL GO STATION LOOP
43.648338,-79.511178,ROYAL YORK STATION
43.651732,-79.475954,RUNNYMEDE STATION
43.77429,-79.25875,SCARBOROUGH CENTRE STATION
43.749571,-79.462186,SHEPPARD WEST STATION
43.761885,-79.412389,SHEPPARD-YONGE STATION
43.672103,-79.376162,SHERBOURNE STATION
43.667271,-79.403784,SPADINA STATION
43.648249,-79.385088,ST ANDREW STATION
43.687857,-79.391958,ST CLAIR STATION
43.684231,-79.415227,ST CLAIR WEST STATION
43.668655,-79.398053,ST GEORGE STATION
43.655249,-79.388388,ST PATRICK STATION
43.682049,-79.390789,SUMMERHILL STATION
43.645652,-79.37921,UNION STATION
43.794021,-79.527906,VAUGHAN METROPOLITAN CENTRE STATION
43.693745,-79.288368,VICTORIA PARK STATION
43.710967,-79.279432,WARDEN STATION
43.665358,-79.383941,WELLESLEY STATION
43.734475,-79.45092,WILSON STATION
43.68644,-79.312471,WOODBINE STATION
43.670997,-79.385956,YONGE STATION
43.745172,-79.40593,YORK MILLS STATION
43.725248,-79.447692,YORKDALE STATION
